"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",6,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"2",1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"3",6,4,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,4,6
"4",6,3,4,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,4,1,2
"5",6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"6",1,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"7",1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"8",6,4,9,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,2
"9",1,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"10",6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"11",6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"12",1,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"13",6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"14",6,1,5,1,6,2,2,1,6,2,4,3,1,8,8,1,3,2,1,3,1,2
"15",5,1,4,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,6,6
"16",3,1,9,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,4,1,2
"17",6,3,5,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,4,2
"18",6,4,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,4,6
"19",6,3,5,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,4,6
"20",1,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"21",6,4,5,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,2
"22",1,4,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"23",1,4,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"24",1,3,9,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"25",3,3,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,2
"26",6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"27",6,4,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"28",3,1,5,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,6,6
"29",6,3,10,2,1,2,2,2,6,2,2,3,3,8,8,1,3,2,5,4,5,1
"30",1,3,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,4
"31",6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,4,6
"32",6,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"33",6,4,5,2,4,2,1,1,8,1,5,3,4,8,8,1,3,2,5,4,6,5
"34",1,4,10,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"35",6,1,10,2,4,2,2,2,11,2,2,3,3,8,8,1,3,2,5,4,5,1
"36",5,1,4,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"37",6,4,5,2,7,2,1,2,11,1,4,3,3,8,8,1,3,2,5,4,4,6
"38",6,1,10,2,1,2,2,2,8,2,2,3,3,8,8,1,3,2,5,4,5,1
"39",1,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"40",1,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,2
"41",6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,3,6,5
"42",6,1,5,1,6,2,1,2,3,1,4,3,3,8,8,1,3,2,5,3,6,6
"43",6,4,9,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,4,5,2
"44",6,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,3,4
"45",6,4,9,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,2
"46",6,4,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,4
"47",6,3,9,2,4,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,4
"48",6,4,10,2,4,2,1,1,6,1,5,3,4,8,8,1,3,2,5,4,4,5
"49",3,4,10,2,4,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,5
"50",6,4,5,2,1,2,1,1,11,1,5,3,4,8,8,1,3,2,5,3,4,2
"51",6,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,4,2
"52",1,3,9,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,4
"53",6,4,5,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"54",6,3,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,3,5,6
"55",1,4,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,3,4,4
"56",3,1,4,1,6,2,2,1,6,2,4,3,3,8,8,1,3,2,1,4,1,2
"57",1,3,9,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,3,2
"58",6,3,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,3,3,2
"59",6,4,5,2,1,2,1,1,8,1,5,3,4,8,8,1,3,2,5,3,6,5
"60",5,1,4,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
