"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",1,6,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,3,2
"2",1,1,3,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,3,4
"3",2,6,4,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,4,6
"4",1,6,3,4,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,4,1,2
"5",1,6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,3,2
"6",1,1,3,9,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,3,4
"7",1,1,4,9,2,4,2,1,1,6,1,3,3,3,8,8,1,3,2,5,4,4,4
"8",2,6,4,9,2,7,2,1,2,8,1,4,3,3,8,8,1,3,2,5,3,5,2
"9",1,1,3,10,2,1,2,1,1,3,1,3,3,3,8,8,1,3,2,5,3,4,4
"10",1,6,4,10,2,4,2,1,1,3,1,3,3,3,8,8,1,3,2,5,4,3,2
"11",1,6,4,10,2,1,2,1,1,6,1,3,3,3,8,8,1,3,2,5,3,4,4
"12",1,1,3,10,2,1,2,1,1,11,1,3,3,3,8,8,1,3,2,5,4,4,2
"13",2,6,4,9,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,5,6
"14",1,6,1,5,1,6,2,2,1,6,2,4,3,1,8,8,1,3,2,1,3,1,2
"15",1,5,1,4,1,6,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,6,6
"16",1,3,1,9,1,6,2,2,1,5,2,4,3,3,8,8,1,3,2,1,4,1,2
"17",2,6,3,5,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,3,4,2
"18",2,6,4,9,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,4,6
"19",2,6,3,5,2,7,2,1,2,5,1,4,3,3,8,8,1,3,2,5,4,4,6
"20",1,1,3,10,2,1,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
"21",2,6,4,5,2,7,2,1,2,6,1,4,3,3,8,8,1,3,2,5,4,5,2
"22",1,1,4,10,2,4,2,1,1,5,1,3,3,3,8,8,1,3,2,5,4,4,4
