,label,pca1,pca2,pca3
1,1,-1.936538682,4.796963221,-3.511726569
2,1,-1.654159027,2.464434814,-3.880906185
3,1,-1.252057149,1.679895822,-3.564505683
4,2,1.581228644,-1.001998786,-1.255586864
5,1,-3.050876515,4.653044674,-3.455986099
6,1,-0.385077877,5.556255415,-3.189363917
7,1,-1.603800965,2.46835384,-3.704162025
8,1,-3.216042284,0.4144402,-3.172296452
9,1,-0.593167931,6.185512915,-3.460462438
10,1,0.284170664,4.34817709,-3.461201894
11,1,-2.856977202,4.830669747,-3.430709151
12,1,-6.528563843,1.97529589,-4.394225406
13,1,-0.087361253,1.827733395,-3.443501993
14,2,0.140003072,-0.383368988,-1.465733281
15,2,0.538535373,-0.779527036,-0.61977772
16,1,0.497096625,2.093087438,-3.888117547
17,2,-0.954633437,-1.152486004,-1.140486213
18,1,-0.840890287,1.356981605,-3.781735944
19,2,0.63933815,-0.668177147,-1.640467244
20,1,-1.716710512,4.933614359,-3.906468191
21,2,-0.493108513,-1.471481195,-1.180972315
22,1,-1.03071061,3.555843889,-4.084719007
23,1,-6.048565036,1.515063247,-4.36879819
24,1,0.222912587,4.187085161,-3.09666648
25,1,-1.318792415,0.998266555,-3.365660319
26,1,-2.431984651,4.501495909,-3.871785619
27,1,-5.452677741,0.180607308,-4.079928389
28,2,-0.056524313,0.149995486,-1.065499613
29,1,-2.611499667,4.089636046,-3.024869018
30,1,0.453640771,4.480909202,-4.032687675
31,1,-0.073535565,1.821473774,-3.667348199
32,1,-1.8101685,3.126066034,-4.002934388
33,2,-2.568604477,-0.739557063,-1.497686895
34,1,-1.798065332,3.09135172,-4.199106752
35,1,-5.954824624,0.396426513,-3.633752423
36,2,0.141194199,-0.462872439,-0.626393664
37,2,-3.900606429,-3.457470758,-2.373895764
38,1,-4.274576611,3.165332897,-3.159440417
39,1,-1.506061223,3.881098701,-3.820386698
40,1,-2.627606485,4.295416142,-3.869388725
41,1,-2.416383728,3.627330888,-3.526404777
42,1,1.462627816,1.103564186,-0.58471298
43,1,-2.804875421,0.091525982,-3.389526714
44,1,-6.744108872,2.504289874,-4.179392038
45,1,-2.445445286,3.707132577,-3.178271634
46,1,-1.467806329,3.919732042,-3.447470175
47,1,-5.516861492,0.182947903,-4.032826342
48,1,-1.977565489,3.291897429,-4.191327451
49,1,-6.209948646,1.267766438,-4.798047059
50,2,-6.187587782,-0.7042569,-1.642309627
51,1,-1.545450714,3.127709305,-2.706854144
52,1,-0.886804306,2.928926984,-3.766518439
53,2,0.689696212,-0.664258121,-1.463723085
54,1,-0.562711866,2.152988208,-3.179169684
55,1,-6.667821954,2.467234965,-4.422666449
56,2,0.701063735,-1.486394127,-1.527781658
57,1,-6.320473789,1.34603839,-4.123126886
58,1,-1.725889393,3.744447563,-3.425645077
59,1,-3.601587491,0.958787029,-1.149307864
60,2,0.552361061,-0.785786657,-0.843623926
61,1,-1.652526762,4.931273764,-3.953570237
62,1,0.439815083,4.487168823,-3.808841469
63,1,0.517824521,4.478568607,-4.079789721
